latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-78.8967949,160.0952558,igneous,plutonic,2885.515655,4.58850753,1.579666429,0.000547447
-78.89612487,160.1095851,igneous,plutonic,3205.475278,4.592138365,1.387799622,0.000432947
-78.89611493,160.0984856,igneous,plutonic,3143.514466,4.592540192,1.372497424,0.000436612
-78.89544495,160.1012054,igneous,plutonic,3107.206431,4.592333288,1.452389372,0.000467426
-78.89484492,160.1150047,igneous,plutonic,2909.352709,4.589087504,1.311789303,0.000450887
-78.89457497,160.1083049,igneous,plutonic,3062.524071,4.591637704,1.426116911,0.000465667
-78.89320499,160.1198742,igneous,plutonic,3175.172175,4.593591025,1.372671035,0.000432314
-78.89161507,160.1224639,metamorphic,metaplutonic,3148.118804,4.592815835,1.443478488,0.000458521
-78.89005491,160.1748314,igneous,plutonic,2672.617877,4.587042248,3.241356918,0.001212802
-78.88744525,160.1345329,igneous,plutonic,3129.320371,4.592495313,1.357610319,0.000433836
-78.88372513,160.2061592,igneous,plutonic,2646.694539,4.586881966,2.870023816,0.00108438
